# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	9335	10123	+					pstB		FCL38_RS00045	789		old_locus_tag=FCL38_00045
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	9335	10123	+	WP_137311894.1	WP_137311894.1		phosphate ABC transporter ATP-binding protein PstB	pstB		FCL38_RS00045	789	262	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	10144	10854	+					phoU		FCL38_RS00050	711		old_locus_tag=FCL38_00050
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	10144	10854	+	WP_137311895.1	WP_137311895.1		phosphate signaling complex protein PhoU	phoU		FCL38_RS00050	711	236	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	10862	11554	+							FCL38_RS00055	693		old_locus_tag=FCL38_00055
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	10862	11554	+	WP_137311896.1	WP_137311896.1		response regulator			FCL38_RS00055	693	230	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	11551	12882	+					phoR		FCL38_RS00060	1332		old_locus_tag=FCL38_00060
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	11551	12882	+	WP_137311897.1	WP_137311897.1		phosphate regulon sensor histidine kinase PhoR	phoR		FCL38_RS00060	1332	443	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	12969	13988	+							FCL38_RS00065	1020		old_locus_tag=FCL38_00065
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	12969	13988	+	WP_137311898.1	WP_137311898.1		patatin-like phospholipase family protein			FCL38_RS00065	1020	339	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	14027	14431	+							FCL38_RS00070	405		old_locus_tag=FCL38_00070
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	14027	14431	+	WP_137311899.1	WP_137311899.1		heme-binding protein			FCL38_RS00070	405	134	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	14560	15282	+							FCL38_RS00075	723		old_locus_tag=FCL38_00075
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	14560	15282	+	WP_137311900.1	WP_137311900.1		PEP-CTERM sorting domain-containing protein			FCL38_RS00075	723	240	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	15602	16765	+					carA		FCL38_RS00080	1164		old_locus_tag=FCL38_00080
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	15602	16765	+	WP_137311901.1	WP_137311901.1		glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	carA		FCL38_RS00080	1164	387	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	16768	19998	+					carB		FCL38_RS00085	3231		old_locus_tag=FCL38_00085
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	16768	19998	+	WP_137311902.1	WP_137311902.1		carbamoyl-phosphate synthase large subunit	carB		FCL38_RS00085	3231	1076	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	20136	20612	+					greA		FCL38_RS00090	477		old_locus_tag=FCL38_00090
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	20136	20612	+	WP_130185134.1	WP_130185134.1		transcription elongation factor GreA	greA		FCL38_RS00090	477	158	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	20612	21055	+							FCL38_RS00095	444		old_locus_tag=FCL38_00095
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	20612	21055	+	WP_175424638.1	WP_175424638.1		DUF4149 domain-containing protein			FCL38_RS00095	444	147	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	21208	21672	-					yhbY		FCL38_RS00100	465		old_locus_tag=FCL38_00100
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	21208	21672	-	WP_137311904.1	WP_137311904.1		ribosome assembly RNA-binding protein YhbY	yhbY		FCL38_RS00100	465	154	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	21716	22366	+							FCL38_RS00105	651		old_locus_tag=FCL38_00105
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	21716	22366	+	WP_137311905.1	WP_137311905.1		RlmE family RNA methyltransferase			FCL38_RS00105	651	216	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	22678	24561	+					ftsH		FCL38_RS00110	1884		old_locus_tag=FCL38_00110
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	22678	24561	+	WP_137311906.1	WP_137311906.1		ATP-dependent zinc metalloprotease FtsH	ftsH		FCL38_RS00110	1884	627	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	24745	25575	+					folP		FCL38_RS00115	831		old_locus_tag=FCL38_00115
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	24745	25575	+	WP_221403853.1	WP_221403853.1		dihydropteroate synthase	folP		FCL38_RS00115	831	276	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	25601	26959	+					glmM		FCL38_RS00120	1359		old_locus_tag=FCL38_00120
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	25601	26959	+	WP_137311907.1	WP_137311907.1		phosphoglucosamine mutase	glmM		FCL38_RS00120	1359	452	
gene	tRNA	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	27088	27164	+							FCL38_RS00125	77		old_locus_tag=FCL38_00125
tRNA		GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	27088	27164	+				tRNA-Arg			FCL38_RS00125	77		anticodon=TCT
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	27309	27497	+							FCL38_RS00130	189		old_locus_tag=FCL38_00130
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	27309	27497	+	WP_137311908.1	WP_137311908.1		hypothetical protein			FCL38_RS00130	189	62	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	27579	28235	+							FCL38_RS00135	657		old_locus_tag=FCL38_00135
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	27579	28235	+	WP_137311909.1	WP_137311909.1		zinc ribbon domain-containing protein			FCL38_RS00135	657	218	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	28326	28949	-							FCL38_RS00140	624		old_locus_tag=FCL38_00140
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	28326	28949	-	WP_229422444.1	WP_229422444.1		LysE/ArgO family amino acid transporter			FCL38_RS00140	624	207	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	29046	29942	+							FCL38_RS00145	897		old_locus_tag=FCL38_00145
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	29046	29942	+	WP_137311910.1	WP_137311910.1		LysR family transcriptional regulator ArgP			FCL38_RS00145	897	298	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	29936	31015	-							FCL38_RS00150	1080		old_locus_tag=FCL38_00150
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	29936	31015	-	WP_137311911.1	WP_137311911.1		type II asparaginase			FCL38_RS00150	1080	359	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	31265	31813	-							FCL38_RS00155	549		old_locus_tag=FCL38_00155
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	31265	31813	-	WP_137311912.1	WP_137311912.1		FxDxF family PEP-CTERM protein			FCL38_RS00155	549	182	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	32113	32994	+							FCL38_RS00160	882		old_locus_tag=FCL38_00160
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	32113	32994	+	WP_137311913.1	WP_137311913.1		LysR family transcriptional regulator			FCL38_RS00160	882	293	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	33302	33463	+							FCL38_RS31240	162		
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	33302	33463	+	WP_175424633.1	WP_175424633.1		hypothetical protein			FCL38_RS31240	162	53	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	33486	33647	+							FCL38_RS31245	162		
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	33486	33647	+	WP_165390736.1	WP_165390736.1		hypothetical protein			FCL38_RS31245	162	53	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	33969	34346	+							FCL38_RS00165	378		old_locus_tag=FCL38_00165
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	33969	34346	+	WP_137311914.1	WP_137311914.1		hypothetical protein			FCL38_RS00165	378	125	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	34343	35047	+							FCL38_RS00170	705		old_locus_tag=FCL38_00170
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	34343	35047	+	WP_137311915.1	WP_137311915.1		DUF5668 domain-containing protein			FCL38_RS00170	705	234	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	35061	36149	+							FCL38_RS00175	1089		old_locus_tag=FCL38_00175
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	35061	36149	+	WP_137311916.1	WP_137311916.1		histidine kinase			FCL38_RS00175	1089	362	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	36162	36896	+							FCL38_RS00180	735		old_locus_tag=FCL38_00180
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	36162	36896	+	WP_137311917.1	WP_137311917.1		LytTR family DNA-binding domain-containing protein			FCL38_RS00180	735	244	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	36909	39221	-							FCL38_RS00185	2313		old_locus_tag=FCL38_00185
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	36909	39221	-	WP_229422445.1	WP_229422445.1		ATP-dependent DNA helicase			FCL38_RS00185	2313	770	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	39218	40867	-							FCL38_RS00190	1650		old_locus_tag=FCL38_00190
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	39218	40867	-	WP_137311918.1	WP_137311918.1		VRR-NUC domain-containing protein			FCL38_RS00190	1650	549	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	41084	41635	-							FCL38_RS00195	552		old_locus_tag=FCL38_00195
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	41084	41635	-	WP_137311919.1	WP_137311919.1		phasin family protein			FCL38_RS00195	552	183	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	41673	41891	-							FCL38_RS00200	219		old_locus_tag=FCL38_00200
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	41673	41891	-	WP_137311920.1	WP_137311920.1		hypothetical protein			FCL38_RS00200	219	72	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	41989	44172	-							FCL38_RS00205	2184		old_locus_tag=FCL38_00205
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	41989	44172	-	WP_229422446.1	WP_229422446.1		GAF domain-containing protein			FCL38_RS00205	2184	727	
gene	tRNA	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	44292	44376	-							FCL38_RS00210	85		old_locus_tag=FCL38_00210
tRNA		GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	44292	44376	-				tRNA-Leu			FCL38_RS00210	85		anticodon=CAG
gene	tRNA	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	44461	44545	-							FCL38_RS00215	85		old_locus_tag=FCL38_00215
tRNA		GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	44461	44545	-				tRNA-Leu			FCL38_RS00215	85		anticodon=CAG
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	44624	45730	-							FCL38_RS00220	1107		old_locus_tag=FCL38_00220
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	44624	45730	-	WP_137311922.1	WP_137311922.1		NF038122 family metalloprotease			FCL38_RS00220	1107	368	
gene	tRNA	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	46082	46166	-							FCL38_RS00225	85		old_locus_tag=FCL38_00225
tRNA		GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	46082	46166	-				tRNA-Leu			FCL38_RS00225	85		anticodon=CAG
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	46256	46480	+							FCL38_RS00230	225		old_locus_tag=FCL38_00230
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	46256	46480	+	WP_137311923.1	WP_137311923.1		hypothetical protein			FCL38_RS00230	225	74	
gene	tRNA	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	46566	46650	-							FCL38_RS00235	85		old_locus_tag=FCL38_00235
tRNA		GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	46566	46650	-				tRNA-Leu			FCL38_RS00235	85		anticodon=CAG
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	47043	49694	+					rnr		FCL38_RS00240	2652		old_locus_tag=FCL38_00240
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	47043	49694	+	WP_137311924.1	WP_137311924.1		ribonuclease R	rnr		FCL38_RS00240	2652	883	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	49810	50556	+					rlmB		FCL38_RS00245	747		old_locus_tag=FCL38_00245
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	49810	50556	+	WP_137311925.1	WP_137311925.1		23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	rlmB		FCL38_RS00245	747	248	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	50685	51431	+					cysE		FCL38_RS00250	747		old_locus_tag=FCL38_00250
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	50685	51431	+	WP_137311926.1	WP_137311926.1		serine O-acetyltransferase	cysE		FCL38_RS00250	747	248	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	51441	52154	+							FCL38_RS00255	714		old_locus_tag=FCL38_00255
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	51441	52154	+	WP_137311927.1	WP_137311927.1		YceH family protein			FCL38_RS00255	714	237	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	52271	52777	-							FCL38_RS00260	507		old_locus_tag=FCL38_00260
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	52271	52777	-	WP_137311928.1	WP_137311928.1		hypothetical protein			FCL38_RS00260	507	168	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	52959	53999	-							FCL38_RS00265	1041		old_locus_tag=FCL38_00265
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	52959	53999	-	WP_137311929.1	WP_137311929.1		hypothetical protein			FCL38_RS00265	1041	346	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	54005	54862	-							FCL38_RS00270	858		old_locus_tag=FCL38_00270
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	54005	54862	-	WP_137311930.1	WP_137311930.1		ABC transporter ATP-binding protein			FCL38_RS00270	858	285	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	54859	55227	-							FCL38_RS00275	369		old_locus_tag=FCL38_00275
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	54859	55227	-	WP_137311931.1	WP_137311931.1		GntR family transcriptional regulator			FCL38_RS00275	369	122	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	55823	58045	+							FCL38_RS00280	2223		old_locus_tag=FCL38_00280
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	55823	58045	+	WP_137311932.1	WP_137311932.1		bifunctional SulP family inorganic anion transporter/carbonic anhydrase			FCL38_RS00280	2223	740	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	58012	58794	-							FCL38_RS00285	783		old_locus_tag=FCL38_00285
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	58012	58794	-	WP_137311933.1	WP_137311933.1		DUF72 domain-containing protein			FCL38_RS00285	783	260	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	58921	59487	+							FCL38_RS00290	567		old_locus_tag=FCL38_00290
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	58921	59487	+	WP_229422447.1	WP_229422447.1		DUF1439 domain-containing protein			FCL38_RS00290	567	188	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	59595	60356	+							FCL38_RS00295	762		old_locus_tag=FCL38_00295
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	59595	60356	+	WP_137311934.1	WP_137311934.1		tetratricopeptide repeat protein			FCL38_RS00295	762	253	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	60389	61021	-							FCL38_RS00300	633		old_locus_tag=FCL38_00300
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	60389	61021	-	WP_137311935.1	WP_137311935.1		glycoside hydrolase family 19 protein			FCL38_RS00300	633	210	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	61128	61727	+							FCL38_RS00305	600		old_locus_tag=FCL38_00305
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	61128	61727	+	WP_137311936.1	WP_137311936.1		DinB family protein			FCL38_RS00305	600	199	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	61899	62636	-							FCL38_RS00310	738		old_locus_tag=FCL38_00310
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	61899	62636	-	WP_137311937.1	WP_137311937.1		UDP-2,3-diacylglucosamine diphosphatase			FCL38_RS00310	738	245	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	62663	63154	-							FCL38_RS00315	492		old_locus_tag=FCL38_00315
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	62663	63154	-	WP_130185100.1	WP_130185100.1		peptidyl-prolyl cis-trans isomerase			FCL38_RS00315	492	163	
gene	pseudogene	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	63369	63908	-							FCL38_RS00320	540		partial;pseudo;old_locus_tag=FCL38_00320
CDS	without_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	63369	63908	-				peptidylprolyl isomerase			FCL38_RS00320	540		partial;pseudo
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	64198	65583	+					cysS		FCL38_RS00325	1386		old_locus_tag=FCL38_00325
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	64198	65583	+	WP_137311939.1	WP_137311939.1		cysteine--tRNA ligase	cysS		FCL38_RS00325	1386	461	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	65583	66245	+							FCL38_RS00330	663		old_locus_tag=FCL38_00330
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	65583	66245	+	WP_137311940.1	WP_137311940.1		DNA-3-methyladenine glycosylase			FCL38_RS00330	663	220	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	66317	67291	+							FCL38_RS00335	975		old_locus_tag=FCL38_00335
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	66317	67291	+	WP_137311941.1	WP_137311941.1		acetyl-CoA carboxylase carboxyltransferase subunit alpha			FCL38_RS00335	975	324	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	67387	68769	+					tilS		FCL38_RS00340	1383		old_locus_tag=FCL38_00340
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	67387	68769	+	WP_137311942.1	WP_137311942.1		tRNA lysidine(34) synthetase TilS	tilS		FCL38_RS00340	1383	460	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	68903	70147	+							FCL38_RS00345	1245		old_locus_tag=FCL38_00345
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	68903	70147	+	WP_137311943.1	WP_137311943.1		aspartate kinase			FCL38_RS00345	1245	414	
gene	tRNA	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	70266	70358	+							FCL38_RS00350	93		old_locus_tag=FCL38_00350
tRNA		GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	70266	70358	+				tRNA-Ser			FCL38_RS00350	93		anticodon=GCT
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	70922	72121	+							FCL38_RS00355	1200		old_locus_tag=FCL38_00355
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	70922	72121	+	WP_137311944.1	WP_137311944.1		site-specific integrase			FCL38_RS00355	1200	399	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	72247	72531	+							FCL38_RS00360	285		old_locus_tag=FCL38_00360
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	72247	72531	+	WP_137311945.1	WP_137311945.1		hypothetical protein			FCL38_RS00360	285	94	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	72879	73175	-							FCL38_RS00365	297		old_locus_tag=FCL38_00365
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	72879	73175	-	WP_137311946.1	WP_137311946.1		AlpA family phage regulatory protein			FCL38_RS00365	297	98	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	73429	73785	+							FCL38_RS00370	357		old_locus_tag=FCL38_00370
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	73429	73785	+	WP_137311947.1	WP_137311947.1		hypothetical protein			FCL38_RS00370	357	118	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	73790	75538	+							FCL38_RS00375	1749		old_locus_tag=FCL38_00375
CDS	with_protein	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	73790	75538	+	WP_137311948.1	WP_137311948.1		type IV secretion system DNA-binding domain-containing protein			FCL38_RS00375	1749	582	
gene	protein_coding	GCF_005280315.1	Primary Assembly	chromosome		NZ_CP040017.1	75522	78386	+							FCL38_RS00380	2865		old_locus_tag=FCL38_00380
